"","NBC.mean","MBC.mean","Class"
"AMPL130924",0.28670402841127,0.475885902039605,"Memory B-cell high"
"AMPL130928",0.090841090638372,0.057098465332297,"Naive B-cell high"
"AMPL130930",0.919599809730276,0.667638718162702,"Naive B-cell high"
"AMPL130932",0.867235281879351,0.451389849514096,"Naive B-cell high"
"AMPL130933",0.907848373009993,0.603217573789675,"Naive B-cell high"
"AMPL130936",0.085388572774441,0.173886755480256,"Memory B-cell high"
"AMPL130937",0.85867163574011,0.479645637672941,"Naive B-cell high"
"AMPL130939",0.048139512622192,0.104451833531831,"Memory B-cell high"
"AMPL130949",0.698583899970427,0.601770396552986,"Naive B-cell high"
"AMPL130953",0.915962357851351,0.613970330477624,"Naive B-cell high"
"AMPL130957",0.84724825950041,0.486195896429234,"Naive B-cell high"
"AMPL130970",0.155333670592926,0.869209691225937,"Memory B-cell high"
"AMPL130973",0.810723465452265,0.335734759083665,"Naive B-cell high"
"AMPL130974",0.38005301992728,0.775811768988847,"Memory B-cell high"
"AMPL130975",0.065002184943489,0.06711715023384,"Memory B-cell high"
"AMPL130977",0.889711098194118,0.506485612112989,"Naive B-cell high"
"AMPL130979",0.087612086405736,0.061405891205083,"Naive B-cell high"
"AMPL130982",0.854144583181615,0.366242939697267,"Naive B-cell high"
"AMPL130988",0.917071804389654,0.789683397396678,"Naive B-cell high"
"AMPL130989",0.86735247831145,0.632322942157072,"Naive B-cell high"
"AMPL130991",0.647059221882193,0.439977665836859,"Naive B-cell high"
"AMPL130992",0.863619994068114,0.627501897276265,"Naive B-cell high"
"AMPL130995",0.324515323041561,0.669837621953959,"Memory B-cell high"
"AMPL130997",0.38647398573397,0.429722082975203,"Memory B-cell high"
"AMPL131005",0.360906518241371,0.701500282852459,"Memory B-cell high"
"AMPL131011",0.355105493307124,0.723418290002383,"Memory B-cell high"
"AMPL131013",0.669649502890932,0.444571023403445,"Naive B-cell high"
"AMPL131016",0.13821916906558,0.120393053683444,"Naive B-cell high"
"AMPL131020",0.381377852426295,0.845458082476455,"Memory B-cell high"
"AMPL131025",0.763470621471242,0.708065279484193,"Naive B-cell high"
"AMPL131028",0.928268825273977,0.817386474664328,"Naive B-cell high"
"AMPL131040",0.080023048434319,0.065950234080815,"Naive B-cell high"
"AMPL131042",0.238389219241053,0.425949291028929,"Memory B-cell high"
"AMPL131043",0.766628964115356,0.682504077649785,"Naive B-cell high"
"AMPL131044",0.738593638631419,0.644942166577084,"Naive B-cell high"
"AMPL131045",0.913073563035148,0.724349425612093,"Naive B-cell high"
"AMPL131046",0.90131238511012,0.773872670018811,"Naive B-cell high"
"AMPL131050",0.395580832226612,0.094893796385896,"Naive B-cell high"
"AMPL131051",0.882297767199794,0.527136668365325,"Naive B-cell high"
"AMPL131059",0.326366394863379,0.361993968491361,"Memory B-cell high"
"AMPL131061",0.556915351416055,0.102799960667874,"Naive B-cell high"
"AMPL131062",0.335541854766932,0.062442082801382,"Naive B-cell high"
"AMPL131064",0.89226339951208,0.765835951492095,"Naive B-cell high"
"AMPL131065",0.89761253448349,0.311323070626734,"Naive B-cell high"
"AMPL131067",0.44328065031582,0.297074448115063,"Naive B-cell high"
"AMPL131069",0.625986342129704,0.712882193733331,"Memory B-cell high"
"AMPL131070",0.631430094979144,0.30815178404192,"Naive B-cell high"
"AMPL131073",0.251971223495711,0.440326120004749,"Memory B-cell high"
"AMPL131074",0.181464746304284,0.313842099198889,"Memory B-cell high"
"AMPL131075",0.68072642449465,0.487147072425977,"Naive B-cell high"
"AMPL131077",0.400224883242875,0.079118833332841,"Naive B-cell high"
"AMPL131078",0.509670545539116,0.589585478988933,"Memory B-cell high"
"AMPL131079",0.158891464055282,0.644559812610705,"Memory B-cell high"
"AMPL131081",0.914468360705927,0.678119588754623,"Naive B-cell high"
"AMPL131087",0.776789299963211,0.233614347760099,"Naive B-cell high"
"AMPL131089",0.783765667103928,0.160118176228695,"Naive B-cell high"
"AMPL131092",0.897797379415746,0.696313101727964,"Naive B-cell high"
"AMPL131094",0.112286805339621,0.277156251172093,"Memory B-cell high"
"AMPL131095",0.877722392268902,0.612056733939442,"Naive B-cell high"
"AMPL131096",0.923992802758765,0.829807233971471,"Naive B-cell high"
"AMPL131098",0.78575835860129,0.22840153422448,"Naive B-cell high"
"AMPL131100",0.903301791386528,0.566581731750683,"Naive B-cell high"
"AMPL131103",0.40584817026832,0.48846629281355,"Memory B-cell high"
"AMPL131104",0.857886020328195,0.635761353123823,"Naive B-cell high"
"AMPL131106",0.890961839190013,0.631189493669401,"Naive B-cell high"
"AMPL131108",0.304097073521043,0.152454807570089,"Naive B-cell high"
"AMPL131111",0.562906981384422,0.22609625065207,"Naive B-cell high"
"AMPL131113",0.75160066431201,0.177327642864438,"Naive B-cell high"
"AMPL131118",0.918543314400227,0.710163165901503,"Naive B-cell high"
"AMPL131120",0.913146136024761,0.502361330948613,"Naive B-cell high"
"AMPL131121",0.285473996253778,0.265153687940874,"Naive B-cell high"
"AMPL131122",0.454188198511324,0.209649122242373,"Naive B-cell high"
"AMPL131123",0.874847918464282,0.49752794903502,"Naive B-cell high"
"AMPL131128",0.709157251649628,0.532227154490614,"Naive B-cell high"
"AMPL131132",0.810043937090014,0.402080339769922,"Naive B-cell high"
"AMPL131141",0.787606087056729,0.617520804642331,"Naive B-cell high"
"AMPL131143",0.233801496777577,0.274025262247662,"Memory B-cell high"
"AMPL131144",0.654129013643802,0.125383013125283,"Naive B-cell high"
"AMPL131145",0.345883939576508,0.320405756489174,"Naive B-cell high"
"AMPL131146",0.453227874531247,0.102283490743245,"Naive B-cell high"
"AMPL131156",0.869440304515075,0.21059283542435,"Naive B-cell high"
"AMPL131157",0.646077191352284,0.312122062393423,"Naive B-cell high"
"AMPL131158",0.172151005627303,0.446882656185474,"Memory B-cell high"
"AMPL131161",0.071574685868231,0.16552200948314,"Memory B-cell high"
"AMPL131164",0.874734728774144,0.631246580434025,"Naive B-cell high"
"AMPL131167",0.56033994879153,0.374898784699557,"Naive B-cell high"
"AMPL131169",0.747038760920622,0.273858291032661,"Naive B-cell high"
"AMPL131181",0.773419553931491,0.173002713447877,"Naive B-cell high"
"AMPL131182",0.538996985364356,0.302202023713701,"Naive B-cell high"
"AMPL131185",0.855724423117645,0.193988070140835,"Naive B-cell high"
"AMPL131186",0.852407840864254,0.540807607458547,"Naive B-cell high"
"AMPL131187",0.174693314144311,0.289233704492113,"Memory B-cell high"
"AMPL131198",0.876412726359499,0.615984493370737,"Naive B-cell high"
"AMPL131199",0.497333270943639,0.636621213412191,"Memory B-cell high"
"AMPL131202",0.888534471169254,0.405833262698211,"Naive B-cell high"
"AMPL131203",0.593215167298831,0.138853225071138,"Naive B-cell high"
"AMPL131211",0.741809766277146,0.168202676549321,"Naive B-cell high"
"AMPL131216",0.365889431300737,0.090858752457444,"Naive B-cell high"
"AMPL131218",0.630380464013857,0.542720057270314,"Naive B-cell high"
"AMPL131219",0.764536164566547,0.225083111073556,"Naive B-cell high"
"AMPL131220",0.872697957092964,0.503654640643071,"Naive B-cell high"
"AMPL131222",0.888145657912657,0.719418550474168,"Naive B-cell high"
