"","S1.mean","S2.mean","S3.mean","S4.mean","GC.mean","PB.mean","NBC.mean","MBC.mean","dropout","Special"
"AMPL130932",0.937181208118013,0.935093746601203,0.901551483310356,0.918852646637883,0.598150187929869,0.773850626652874,0.867235281879351,0.451389849514096,0.154323001631321,"Normal"
"AMPL130933",0.845366727694366,0.89274318013326,0.876398699480874,0.903321711471318,0.497812265702641,0.796254983298961,0.907848373009993,0.603217573789675,0.0283849918433932,"Normal"
"AMPL130936",0.053171382149348,0.065292713602232,0.059444268443666,0.063083820824376,0.109801356295173,0.09191545715478,0.085388572774441,0.173886755480256,0.114355628058728,"Normal"
"AMPL130937",0.814877123395708,0.890492812772301,0.874519476982468,0.899126993254429,0.661190822058724,0.779851951776088,0.85867163574011,0.479645637672941,0.122349102773246,"Normal"
"AMPL130939",0.056206865114505,0.048065533607775,0.043586571574833,0.046108157892852,0.051323945904749,0.054568720935835,0.048139512622192,0.104451833531831,0.0050570962479608,"Normal"
"AMPL130949",0.851741927352099,0.422043170909145,0.378729453903319,0.371323162703199,0.628467076937549,0.670848050627323,0.698583899970427,0.601770396552986,0.00277324632952691,"Normal"
"AMPL130953",0.921409020469815,0.94622114408781,0.932693746788084,0.951091682400979,0.677712235528236,0.846678532551498,0.915962357851351,0.613970330477624,0.0168026101141925,"Normal"
"AMPL130957",0.827335824391735,0.876357432279204,0.891675077374638,0.909627105205864,0.271442892913886,0.649491593097245,0.84724825950041,0.486195896429234,0.0174551386623165,"Normal"
"AMPL130970",0.525599523136543,0.352029676748199,0.141833727249766,0.15945966284174,0.540260302926231,0.262144935636858,0.155333670592926,0.869209691225937,0.17862969004894,"Normal"
"AMPL130973",0.762042208997715,0.876969659980818,0.821815303172584,0.829115078925758,0.465407768554882,0.707306844920774,0.810723465452265,0.335734759083665,0.0133768352365417,"Normal"
"AMPL130974",0.436570122257005,0.143636667434165,0.112517022510028,0.117470066809128,0.525196882683374,0.41766096938538,0.38005301992728,0.775811768988847,0.000163132137031008,"Normal"
"AMPL130975",0.875988771796059,0.838423830363572,0.650962135999145,0.378424830373296,0.051712917700211,0.060462937472295,0.065002184943489,0.06711715023384,0.000815660685154929,"Normal"
"AMPL130977",0.722272419456113,0.896961492544449,0.916019146040306,0.916130171579472,0.591360373374701,0.813511965101664,0.889711098194118,0.506485612112989,0.0567699836867863,"Normal"
"AMPL130979",0.746485466397133,0.602955759017233,0.465571876513084,0.450314756689569,0.05395412729611,0.074968409574679,0.087612086405736,0.061405891205083,0.0119086460032627,"Special"
"AMPL130982",0.90359024114758,0.934606806934879,0.91320884016906,0.918679193130095,0.491460482083438,0.723290557923608,0.854144583181615,0.366242939697267,0.12952691680261,"Normal"
"AMPL130988",0.950368453751867,0.932508601721167,0.919322503545551,0.931846917385118,0.854049862764877,0.878414883460217,0.917071804389654,0.789683397396678,0.00570962479608483,"Normal"
"AMPL130989",0.912222998554082,0.902697908498773,0.905130990416358,0.899564303781673,0.466207466826987,0.728867812136195,0.86735247831145,0.632322942157072,0.0158238172920065,"Normal"
"AMPL130991",0.719500568513308,0.896301618423976,0.872962869729503,0.877110663608439,0.187553129658537,0.494609633214247,0.647059221882193,0.439977665836859,0.0502446982055464,"Normal"
"AMPL130992",0.743092155562107,0.850015142045069,0.856312194798039,0.884508697329193,0.542948254663844,0.771733578885721,0.863619994068114,0.627501897276265,0.034257748776509,"Normal"
